"Feature.ID","Sample.id","Abundance","NormAbundance"
"c4f0710eb90cbedb839c238b591f4bb9","S10011.F00",1.12653264455094,0.0555819144514245
"54239c6454a6a3d3a48e90a79744afb7","S10011.F00",0.129457895064418,-0.855556894192101
"2c353937b82f39126e9aeead6f624ac9","S10011.F00",0,-2
"9639a3291729a3758207b47715d9205f","S10011.F00",0.58256052778988,-0.227267281532966
"b726627e18f29e0da5289f81ca294f92","S10011.F00",0.182983755523744,-0.714479246346188
"b892a377de283ef34540e60931454d35","S10011.F00",0,-2
"f479c23321346918723839e33a3544f4","S10011.F00",0.0385884110288168,-1.31346730329757
"c48070f3061b086b60ff32f77e0002fa","S10011.F00",1.61448932594759,0.210716862066173
"c7b47761c4477775c908c0bc5662f567","S10011.F00",0,-2
"f801c7a8ac9c5fbba79b652ac9d82a13","S10011.F00",0,-2
"59777186ad2e0947e97615b5d6225136","S10011.F00",3.34723345988672,0.525981542861107
"f5f5e0da89730462abaf6301a9557193","S10011.F00",3.66465426028506,0.565216483579691
"5edd946e0a26ae1c85ed8c498c328387","S10011.F00",0.682143523993278,-0.159803840203277
"8e175abe6a746b8f33bae9cd7c8192bb","S10011.F00",0.199165992406797,-0.679508924540194
"0d53bc80a23106375719154fbb0ab48e","S10011.F00",0,-2
"dd46e2d5cd81a8add2304556257a92f7","S10011.F00",0.0448123482915292,-1.2611215913194
"86ff0efd7fd88b82809500c90c4a7832","S10011.F00",0.393352835003423,-0.394314886230585
"378724d48bed51629f3c396d2c3d2f1e","S10011.F00",0,-2
"cb908ae7d11351c78c0e4ce0d849c744","S10011.F00",0,-2
"c54ecd701d322d197b9000b235740969","S10011.F00",0,-2
"bc29605ee2f490499f5eb3a724b29a91","S10011.F00",0.434430820937325,-0.352195830696822
"44396f15b10f6577d61a11c6047c939f","S10011.F00",1.20993340387129,0.0863361231988175
"3b010dbd9eae72a79f11af5d24eb3ca3","S10011.F00",0.129457895064418,-0.855556894192101
